id;data;data_content_type;creation_date;modification_date
1;../fake-data/blob/hipster.png;image/png;2020-06-25T07:11:24;2020-06-24T22:28:59
2;../fake-data/blob/hipster.png;image/png;2020-06-25T03:38:33;2020-06-24T15:05:51
3;../fake-data/blob/hipster.png;image/png;2020-06-24T12:04:30;2020-06-24T16:09:26
4;../fake-data/blob/hipster.png;image/png;2020-06-24T19:31:08;2020-06-24T16:07:09
5;../fake-data/blob/hipster.png;image/png;2020-06-24T10:59:56;2020-06-24T23:20:33
6;../fake-data/blob/hipster.png;image/png;2020-06-25T09:03:54;2020-06-24T22:35:19
7;../fake-data/blob/hipster.png;image/png;2020-06-24T19:02:05;2020-06-24T18:36:15
8;../fake-data/blob/hipster.png;image/png;2020-06-25T03:19:18;2020-06-24T11:53:56
9;../fake-data/blob/hipster.png;image/png;2020-06-24T14:29:00;2020-06-24T17:06:47
10;../fake-data/blob/hipster.png;image/png;2020-06-24T15:13:43;2020-06-24T14:51:48
